"ManufacturerName","Assignment"
"Shenzhen ViewAt Technology Co.,Ltd. ","E043DB"
"Integrated Device Technology (Malaysia) Sdn. Bhd.","2405F5 7C6AF3 2CB115 101250 E80945 E8DE8E A4F3E7 80D160 1C9D3E B8DB1C 689361 14E7C8 803A0A D8452B D055B2"
"Hewlett Packard","3CD92B 9C8E99 B499BA 1CC1DE F4CE46 001CC4 0025B3 001871 000BCD 000E7F 000F20 00110A 001321 001635 0017A4 000802 000883 C4346B 8CDCD4 3464A9 D4C9EF A45D36 A0D3C1 40A8F0 6C3BE5 082E5F 28924A 10604B 308D99 0030C1 FC3FDB 2C27D7 000A57 643150 0002A5 A02BB8 6CC217 3863BB CC3E5F 7446A0 443192 FC15B4 EC9A74 80C16E D07E28 101F74 001A4B 001F29 00215A 000F61 001185 001279 001708 98E7F4 3C5282 78E3B5 984BE1 68B599 8851FB AC162D A0B3CC E4115B C8CBB8 9457A5 0001E7 080009 0080A0 D48564 3C4A92 009C02 78E7D1 001B78 001E0B 00508B 784859 1458D0 5065F3 A0481C A01D48 A08CFD 78ACC0 D0BF9C B05ADA 001083 0001E6 441EA1 D8D385 18A905 00237D 002655 001560 288023 645106 5CB901 DC4A3E 2C59E5 9CB654 38EAA7 E83935 705A0F C8D3FF 30E171 40B034 186024 B8AF67 2C4138 2C768A 0018FE 0019BB 002264 002481 000D9D 0014C2 843497 ECB1D7 3CA82A 480FCF 5820B1 2C233A 000EB3 0004EA 00306E 0060B0 24BE05 0008C7 0010E3 00805F BCEAFA 5C8A38 D89D67 2C44FD F0921C B4B52F EC8EB5 F430B9"
"Cognitec Systems GmbH","3C3556"
"D-Link Corporation","0050BA 00179A 000F3D 001195 0015E9 001CF0 00265A 5CD998 00195B 000D88 001346 002401 001B11 001E58 002191 0022B0 F07D68 340804"
"D-Link International","1CBDB9 9094E4 28107B 1C7EE5 C4A81D F8E903 6C198F B0C554 C0A0BB D8FEE3 1C5F2B 10BEF5 409BCD ACF1DF FC7516 9CD643 A0AB1B 1062EB 78321B EC2280 14D64D C8BE19 BCF685 CCB255 84C9B2 E8CC18 E46F13 1CAFF7 B8A386 C8D3A3 C412F5 54B80A 3C1E04 7062B8 802689 78542E 908D78 6C7220 48EE0C 74DADA"
"Sagemcom Broadband SAS","18622C 7C03D8 E8F1B0 348AAE 988B5D 94FEF4 C8CD72 E8BE81 002348 88A6C6 A408F5 F46BEF C0AC54 40F201 C891F9 4065A3 00789E 44E9DD 907282 4883C7 247F20 2420C7 F08261 D084B0 8C10D4 00194B 001F95 000E59 A01B29 90013B 40C729 083E5D 7C2664 F8AB05 D86CE9 3C81D8 2CE412 181E78 0037B7 84A423 F4EB38 001E74 00604C 002691 C0D044 6C2E85 CC33BB 681590 5464D9 904D4A B0B28F A08E78 B8EE0E B8D94D 2C3996 001556 002569 001BBF 4C17EB 7C034C AC84C9 84A1D1"
"DGS Denmark A/S","00F871"
"COL GIOVANNI PAOLO SpA","20BB76"
"CTR SRL","2C228B"
