"Port Number","Service Name","Description"
"0","","Reserved"
"0","","Reserved"
"1","tcpmux","TCP Port Service Multiplexer"
"1","tcpmux","TCP Port Service Multiplexer"
"2","compressnet","Management Utility"
"2","compressnet","Management Utility"
"3","compressnet","Compression Process"
"3","compressnet","Compression Process"
"4","","Unassigned"
"4","","Unassigned"
"5","rje","Remote Job Entry"
"5","rje","Remote Job Entry"
"6","","Unassigned"
"6","","Unassigned"
"7","echo","Echo"
"7","echo","Echo"
"8","","Unassigned"
"8","","Unassigned"
"9","discard","Discard"
"9","discard","Discard"
"9","discard","Discard"
"9","discard","Discard"
"10","","Unassigned"
"10","","Unassigned"
"11","systat","Active Users"
"11","systat","Active Users"
"12","","Unassigned"
"12","","Unassigned"
"13","daytime","Daytime"
"13","daytime","Daytime"
"14","","Unassigned"
"14","","Unassigned"
"15","","Unassigned [was netstat]"
"15","","Unassigned"
"16","","Unassigned"
"16","","Unassigned"
"17","qotd","Quote of the Day"
"17","qotd","Quote of the Day"
"18","msp","Message Send Protocol (historic)"
"18","msp","Message Send Protocol (historic)"
"19","chargen","Character Generator"
"19","chargen","Character Generator"
"20","ftp-data","File Transfer [Default Data]"
"20","ftp-data","File Transfer [Default Data]"
"20","ftp-data","FTP"
"21","ftp","File Transfer Protocol [Control]"
"21","ftp","File Transfer Protocol [Control]"
"21","ftp","FTP"
"22","ssh","The Secure Shell (SSH) Protocol"
"22","ssh","The Secure Shell (SSH) Protocol"
"22","ssh","SSH"
"23","telnet","Telnet"
"23","telnet","Telnet"
"24","","any private mail system"
"24","","any private mail system"
"25","smtp","Simple Mail Transfer"
"25","smtp","Simple Mail Transfer"
"26","","Unassigned"
"26","","Unassigned"
"27","nsw-fe","NSW User System FE"
"27","nsw-fe","NSW User System FE"
"28","","Unassigned"
"28","","Unassigned"
"29","msg-icp","MSG ICP"
"29","msg-icp","MSG ICP"
"30","","Unassigned"
"30","","Unassigned"
"31","msg-auth","MSG Authentication"
"31","msg-auth","MSG Authentication"
"32","","Unassigned"
"32","","Unassigned"
"33","dsp","Display Support Protocol"
"33","dsp","Display Support Protocol"
"34","","Unassigned"
"34","","Unassigned"
"35","","any private printer server"
"35","","any private printer server"
"36","","Unassigned"
"36","","Unassigned"
"37","time","Time"
